Label ID,Name,Specialization,Status,Country,Website,Online Shopping
49875,Mevzu Records,Punk/Hardcore,active,Türkiye,https://mevzurecords.com,Yes
45734,Mexican Cut,"Doom, Stoner Metal, Psychedelic Rock",active,France,,
63987,Mexican Radio Records,,active,Poland,,
46620,Mexican Steel Prods,"Heavy, Speed, Thrash, Death, Black, Doom",active,Mexico,https://mexicansteelprods.bandcamp.com,Yes
38413,Mexican Summer,"Indie Pop/Rock, Psychedelic Rock, Punk, Shoegaze, Metal, Experimental",active,United States,http://www.mexicansummer.com/,Yes
58069,Mexicat Records,,active,Mexico,,
8396,México Bárbaro Records,,closed,Mexico,http://myspace.com/mbrecords,
38836,Mexika Metal Production,Pre-hispanic Folk Metal,active,United States,,
53769,MEY Productions,"Artrock, Post Rock, Ambient",active,Netherlands,,
16473,Meziprostor,"Grindcore, Noise",closed,Czechia,,
22721,Mezzara,,unknown,,,
57154,MF Records,,unknown,Unknown,,
16474,Mfe,,closed,,,
16475,MFG,,closed,,,
59599,MFI Records,,unknown,,,
27476,MFL Records,"Doom/Death Metal, Funeral Doom Metal",active,Russia,http://www.mfl-records.com/,
48819,MFSE,,active,Netherlands,,
16480,MFT,,unknown,New Zealand,,
48730,MFT,,unknown,North Macedonia,,
58036,MFT Records,Black Metal,active,France,https://www.facebook.com/MFTRecord/,
34830,MG Records,,closed,Poland,,
41783,MG Records,,active,,,
49250,MG Records,,active,Colombia,,
22722,MGA,,unknown,,,
64513,MGCK Music Limited,,active,,,
16483,Mge,,closed,,,
45031,MGI Records,Shred Metal,active,Germany,https://www.m-g-i.de/,
2532,MGM Distribution,,active,Australia,http://www.thegroovemerchants.com/,Yes
24957,MGP Records,,active,United Kingdom,,
32148,MGR Music Entertainment,"Heavy, Thrash",active,United Kingdom,http://mgr-music.com/,Yes
40050,MGRsounds,,unknown,United States,,
8397,MGS Records,,active,,,
8398,MGT,,closed,,,
16486,MHO Marketing Highest Option,,active,Romania,http://www.mho.ro/,
38447,MHOTR,,active,United States,,
22723,MI,,unknown,,,
23825,Mi Agüela No Tiene Brazos Prod.,,active,Spain,,
16487,Mi Estudio,,unknown,,,
44275,Mi maquina de guerra Producciones,,on hold,Colombia,,
45235,Metrotama,,unknown,Indonesia,,
51158,MI-5 Records,,unknown,Hungary,,
35302,MIA,,unknown,United States,,
58784,MIAD Tapes,"Thrash Metal, Black Metal",on hold,Austria,https://miadtapes.bandcamp.com/,
16490,Miami 1992 Records,,closed,United States,,
43405,Miami Metal Merchant,,active,United States,http://www.miamimetalmerchant.com,
50527,Miasma of Barbarity,,active,Portugal,https://miasmaofbarbarity.com/,Yes
47443,Miasma Records,"Brutal Death Metal, Deathcore",active,Portugal,https://www.miasmarecords.com,Yes
63018,Miasma Theory Records,,active,United States,,
16492,Mib,,closed,,,
22725,MicDonald,,unknown,,,
22726,Miceli Récords,,active,,,
2954,Micetrap Records,"RAC, Hardcore, NSBM, Black Metal",closed,United States,http://www.micetrap.net/,
35342,Michael Schenker Records,,unknown,,,
37824,Michael Sweet Productions,,unknown,United States,,
39408,Michigan Craft Records,,active,United States,,
52966,Michoacán Underground,Mexican Metal from Michoacán de Ocampo state,unknown,Mexico,https://michoacanunderground.bandcamp.com/,
63166,Micko Hell,,active,Finland,,
8400,Micro Mix,,closed,,,
49929,Micro Records,,closed,United Kingdom,,
46173,Micróbio Gravasons,,active,Brazil,,
36578,Microfón,"Argentine folklore, Pop, Rock",closed,Argentina,,
55365,Microfon Argentina S.A.,,closed,Argentina,,
33394,Microfonia,,active,Brazil,,
35924,Microtonal Records,Microtonal Music,active,United States,http://www.microtonalrecords.com,
16495,Microwave Blasts,,unknown,,,
63461,Mictlan Metal Studio,,active,Mexico,,
44425,Mictlan Terror Propaganda,,active,United States,,
16496,Mid West,,closed,,,
41774,Mid West Brutality,"Brutal Death Metal, Goregrind",active,United States,http://mwb.storenvy.com/,Yes
63515,Mid-Jet,,active,United States,,
16504,Midan Records,,closed,Germany,,
32366,Midas Productions,,closed,Belgium,,
35520,Midas Records,,unknown,Denmark,,
26452,Midas Studios,,active,Finland,http://midasproductions.fi/,Yes
50231,Middle Man,,active,Japan,,
45947,Middle Man Records,,active,United States,,
16499,Middle T,,unknown,,,
55102,Middle-Man Records,,active,United States,,
39782,Midem Records,,unknown,Russia,,
5688,Midgard Records,,closed,Poland,,
8401,Midgård Records,White supremacist music and paraphernalia,active,Sweden,,
57253,Midgard Records Studio,RAC,active,Spain,,
53216,Midgard Runic,,active,United States,,
8402,Midgardsorm,,closed,,,
47564,Microfome,,active,Portugal,,
56805,Midget House,,active,Japan,,
56327,Midget Records,,closed,Denmark,,
5689,Midhir,,unknown,,,
35967,Midhir Records,,unknown,Ireland,,
16502,MIDI Creative,,closed,,,
23547,Midi Inc.,,unknown,Japan,,
1198,Midi:Nette,"J-Rock/Metal, Electronic Music",unknown,Japan,http://www.midi-nette.com/,Yes
25557,Midiacaos,,unknown,,,
2955,Midian Creations,Death Metal,closed,Belgium,,
16505,Midikol,,closed,,,
41222,Midinti Records,,active,El Salvador,,
30031,Midira Records,"Drone, Ambient",active,Germany,http://midirarecords.com/,Yes
52898,Midmarch Records,,active,,,
63694,Midnat Records,,active,Denmark,,
16506,Midnight 666,,closed,,,
49555,Midnight Cruiser Records,,active,United States,,
16507,Midnight Dreams Productions,Heavy/Stoner Metal,closed,United States,,
61893,Midnight Frost,"Black Metal, MotörCharge, Dungeon synth, Doom, Rock N Roll",active,United States,,
33716,Midnight Funeral,,closed,Australia,,
35846,Midnight Management,,active,Italy,,
42586,Midnight Manhunt,,unknown,,,
64206,Midnight Marauder Records,,active,United States,,
2533,Midnight Records,,closed,United States,,
53464,Midnight Records,Heavy Metal and classic subgenres,active,Spain,https://www.facebook.com/midnighthmrecs,Yes
16500,Midgardsorm Distributions,,closed,,,
37359,Midnight Sorcery Records,Speed/Black/Thrash Metal,active,Mexico,https://midnightsorcerytapes.bandcamp.com/,Yes
16508,Midnight Sun,,closed,,,
48263,Midnight Thunder Records,,active,Mexico,https://www.facebook.com/midnightthundermx/,
32406,Midnight Werewolf Records,Loud Rock,active,United States,https://midnightwerewolf.com,
16509,Midnite,,closed,,,
35259,Midnite Collective,Doom Metal,active,United States,http://www.midnitecollective.com/,Yes
42186,Midnite Concoctions,,active,United States,,
48383,Midnite's Darkness,Raw Black Metal,active,Australia,,
47302,Midsummer Records,"Indie Rock, Emo, Hardcore, Metalcore",active,Germany,https://midsummerrecords.de,
35741,Midsummer's Eve,,active,Italy,,
3574,Midwest,,closed,,,
47062,Midwest Action,Various,active,United States,http://midwestaxn.com/,Yes
45800,Midwest Heavy Metal Promotion,,closed,United States,,
16510,Midwest Independent,,closed,,,
22728,Midwest Movement,,unknown,,,
52543,Midwest Records,,active,United States,,
2956,Midwinter Records,Black Metal,active,Italy,http://www.last-candle.net/mwr/,Yes
30867,Mie,,active,United Kingdom,,
41504,Miedito Records,,active,Spain,,
62879,Miehola Music,,active,Finland,,
22724,MI Studio,,unknown,,,
27304,Midnight Sea Records,"Punk, Hardcore, Grindcore, Death Metal, Noise",closed,United States,,
16477,Mfn Brazil,,closed,,,
63295,Mierda de Bizkaia,,active,Spain,,
16511,Mierda en la Cabeza,,unknown,,,
54701,Mierdallo Records,,active,Colombia,,
25620,Mierdas Productions,"Grindcore, Crust",active,Mexico,http://mierdasprods.com/,
60333,Mierdero Auditivo Records,,active,International,,
3575,Miez Records,"Progessive, Speed Metal",active,Germany,http://www.miezrecords.de/,Yes
57535,Mieze Records,,active,,,
48869,MIG ‎,,active,Germany,,
51369,MIG Records,,active,,,
29387,MIG-Music GmbH,,active,Germany,http://www.mig-music-shop.com/,
47424,MIG7,,active,Bulgaria,http://mig7studio.com/,
40140,Migas Real Compact,,closed,Romania,,
16513,Might of Atlantis,,closed,Poland,,
36298,Mightier than Sword,,active,United States,,
16514,Mighty Atom,,closed,,,
42545,Mighty Castle Productions,"Black, Death, Doom Metal",changed name,Germany,,
16517,Mighty Flame,,closed,,,
1592,Mighty Hordes Productions,"Black Metal, Death Metal",active,Spain,,
16518,Mighty Legends,,closed,,,
5690,Mighty Monster Records,Traditional Heavy Metal,unknown,Germany,http://www.mightymonsterrecords.de,Yes
8405,Mighty Music,Metal and subgenres,active,Denmark,http://www.mightymusic.dk/,Yes
48225,Mighty Spell Records,,active,,,
16520,MightyThor,Black Metal,closed,Norway,,
16522,Migraine,,closed,,,
62813,Migraine Production,,closed,Finland,,
40384,Migraine Recordings,,unknown,Unknown,,
48863,Migration Media,,active,United States,http://migrationmedia.com/,
22730,Mijaces Records,Christian Rock/Metal,active,United States,https://botellomusic.com/store/,
16523,Mijems,,closed,,,
51382,MIK,,unknown,Malaysia,,
16524,Mika Haapasalo,,closed,,,
33840,Mikasa Records,,active,Spain,,
16525,Mike Fitzgerald,,closed,United States,,
52434,Mike Hawk Records,"Noise, Noisecore, Powerviolence, Grindcore",active,United States,https://mxhxwi.bandcamp.com/,
39915,Mikisixx,,unknown,"Korea, South",,
5691,Mikrofona Ieraksti,"Pop, Rock, Electronic",active,Latvia,http://micrec.lv/,
27340,Mikrofoni Promotion Oy,,unknown,Finland,,
51835,Miks,,unknown,Türkiye,,
16526,Mikseri,,closed,,,
2213,Mil a Gritos Records,,closed,,http://www.milagritos.com/,
8406,MiL Records,,closed,Poland,,
47184,Mil Tentativas Records,,active,Brazil,,
28245,Milam Records,"Black Metal, Doom Metal, Noise",unknown,United States,,
44853,Milan,,unknown,Germany,,
16527,Mile High,,closed,,,
39706,Miles Records,,active,Indonesia,,
33849,Milestone Music,,closed,Germany,,
3576,Milestone Records,,closed,Thailand,,
26504,Milhan Müzik,,active,Türkiye,,
29764,Milicia Recordings,,active,France,http://milicia-recordings.blogspot.fr/,
40588,Milisi Distorsi Production,,active,,,
40029,Militant Atheist Productions,,active,Greece,https://www.facebook.com/militantatheistrecords,
64431,Militant Peniskvtting Records,Black Metal,active,Ukraine,https://peniskvttingrecords.bandcamp.com/,Yes
8407,Militant Records,,closed,United States,,
52352,Militant Underground Distribution,,active,Finland,http://www.militant-underground.com,Yes
43982,Militant Zone,NSBM,active,Ukraine,https://militant.zone/,Yes
8408,Militia,,unknown,,,
30970,Militia Attack Records Store. C.A,"Grind, Death metal, Black Metal, Hardcore",active,Venezuela,,
8409,Militia Guard,,active,,,
62681,Militia Inc.,,active,Japan,,
29552,Militia Records,,active,,,
52730,Militia Records,,active,United States,,
3577,Militia Templi Records,"Black Metal, Ambient",closed,Italy,http://myspace.com/militiatemplirecords,
16529,Milkweed,,unknown,,,
58493,Milkweed Records,,unknown,,,
60663,Milky Bomb Records,,active,United Kingdom,http://www.milkybombrecords.co.uk/,
3578,Mill Records,,closed,Sweden,,
16532,Millenial Sun,,unknown,United States,,
